metric,system_a,system_b,n,mean_a,mean_b,mean_delta,t_statistic,p_value,ci_low,ci_high,holm_significant
ndcg@10,bm25,colbert_nbits1,300,0.6641428368209151,0.6924137673366666,0.02827093051575159,1.5814523012026802,0.11483185788495982,-0.006725043751140314,0.06085546591239714,False
ndcg@10,bm25,colbert_nbits2,300,0.6641428368209151,0.6924137673366666,0.02827093051575159,1.5814523012026802,0.11483185788495982,-0.006725043751140314,0.06085546591239714,False
ndcg@10,bm25,colbert_nbits4,300,0.6641428368209151,0.6924137673366666,0.02827093051575159,1.5814523012026802,0.11483185788495982,-0.006725043751140314,0.06085546591239714,False
ndcg@10,colbert_nbits1,colbert_nbits2,300,0.6924137673366666,0.6924137673366666,0.0,0.0,1.0,0.0,0.0,False
ndcg@10,colbert_nbits1,colbert_nbits4,300,0.6924137673366666,0.6924137673366666,0.0,0.0,1.0,0.0,0.0,False
ndcg@10,colbert_nbits2,colbert_nbits4,300,0.6924137673366666,0.6924137673366666,0.0,0.0,1.0,0.0,0.0,False
mrr@10,bm25,colbert_nbits1,300,0.6317195767195766,0.6693320105820105,0.03761243386243387,1.9344746134276236,0.05399802633640917,0.0008716931216931295,0.07235383597883598,False
mrr@10,bm25,colbert_nbits2,300,0.6317195767195766,0.6693320105820105,0.03761243386243387,1.9344746134276236,0.05399802633640917,0.0008716931216931295,0.07235383597883598,False
mrr@10,bm25,colbert_nbits4,300,0.6317195767195766,0.6693320105820105,0.03761243386243387,1.9344746134276236,0.05399802633640917,0.0008716931216931295,0.07235383597883598,False
mrr@10,colbert_nbits1,colbert_nbits2,300,0.6693320105820105,0.6693320105820105,0.0,0.0,1.0,0.0,0.0,False
mrr@10,colbert_nbits1,colbert_nbits4,300,0.6693320105820105,0.6693320105820105,0.0,0.0,1.0,0.0,0.0,False
mrr@10,colbert_nbits2,colbert_nbits4,300,0.6693320105820105,0.6693320105820105,0.0,0.0,1.0,0.0,0.0,False
map,bm25,colbert_nbits1,300,0.6251067061430567,0.6622526195839631,0.037145913440906474,1.966944223820086,0.0501140972775245,0.0015213147661116927,0.07219852098867166,False
map,bm25,colbert_nbits2,300,0.6251067061430567,0.6622526195839631,0.037145913440906474,1.966944223820086,0.0501140972775245,0.0015213147661116927,0.07219852098867166,False
map,bm25,colbert_nbits4,300,0.6251067061430567,0.6622526195839631,0.037145913440906474,1.966944223820086,0.0501140972775245,0.0015213147661116927,0.07219852098867166,False
map,colbert_nbits1,colbert_nbits2,300,0.6622526195839631,0.6622526195839631,0.0,0.0,1.0,0.0,0.0,False
map,colbert_nbits1,colbert_nbits4,300,0.6622526195839631,0.6622526195839631,0.0,0.0,1.0,0.0,0.0,False
map,colbert_nbits2,colbert_nbits4,300,0.6622526195839631,0.6622526195839631,0.0,0.0,1.0,0.0,0.0,False
recall@100,bm25,colbert_nbits1,300,0.8758888888888888,0.912,0.036111111111111115,1.992267670001724,0.04725078506616667,0.0027638888888888886,0.07166666666666667,False
recall@100,bm25,colbert_nbits2,300,0.8758888888888888,0.912,0.036111111111111115,1.992267670001724,0.04725078506616667,0.0027638888888888886,0.07166666666666667,False
recall@100,bm25,colbert_nbits4,300,0.8758888888888888,0.912,0.036111111111111115,1.992267670001724,0.04725078506616667,0.0027638888888888886,0.07166666666666667,False
recall@100,colbert_nbits1,colbert_nbits2,300,0.912,0.912,0.0,0.0,1.0,0.0,0.0,False
recall@100,colbert_nbits1,colbert_nbits4,300,0.912,0.912,0.0,0.0,1.0,0.0,0.0,False
recall@100,colbert_nbits2,colbert_nbits4,300,0.912,0.912,0.0,0.0,1.0,0.0,0.0,False
